Query,run1,run2,run3,run4,run5,run6,avg,numResults,minRes,maxRes
cd1,1587,151,148,137,143,148,386,90,90,90
cd2,93,40,35,38,40,35,47,1,1,1
cd3,115,71,62,65,70,64,75,2,2,2
cd4,130,90,82,65,71,61,84,1,1,1
cd5,70,55,54,43,45,46,53,2,2,2
cd6,1541,1215,1341,1111,1196,1134,1257,11,11,11
cd7,608,552,608,518,525,488,550,2,2,2
ld1,709,558,543,507,540,582,574,309,309,309
ld2,115,85,102,67,92,73,90,185,185,185
ld3,758,738,696,657,704,643,700,162,162,162
ld4,211,204,151,154,179,142,174,50,50,50
ld5,74,76,77,86,63,67,74,28,28,28
ld6,103,72,56,60,53,58,68,39,39,39
ld7,43008,42965,41390,41576,41802,41412,42026,592,592,592
ld8,47920,47769,47693,47340,48094,47164,47664,18,18,18
ld10,121,84,95,126,75,78,97,3,3,3
ld11,1272,1146,1132,1097,1096,1103,1142,376,376,376
ls1,236,102,201,114,149,179,164,1159,1159,1159
ls2,135,139,134,162,162,144,147,333,333,333
ls3,3114,2798,3058,2913,2949,2812,2941,9054,9054,9054
ls4,50,45,51,43,48,40,47,3,3,3
ls5,1365,1031,1012,1098,1401,1057,1161,393,393,393
ls6,235,197,181,227,194,202,207,28,28,28
ls7,581,517,669,513,564,662,585,1620,1620,1620
