I, 2023-03-21 15,26,3,616, [080-exec-1],           Controller, dd8804236b72, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd1, Run,1, Overall Query Processing Time,489, Query Planning Time,428, Compile Time,16, Execution time,45,overallNumberOfRequestsIssuedAtCache,7,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,5,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,26,4,940, [080-exec-2],           Controller, 7c2927bb582e, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd2, Run,1, Overall Query Processing Time,63, Query Planning Time,25, Compile Time,0, Execution time,38,overallNumberOfRequestsIssuedAtCache,3,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,2,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,26,6,56, [080-exec-3],           Controller, 7a0e259d8de3, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd3, Run,1, Overall Query Processing Time,81, Query Planning Time,30, Compile Time,1, Execution time,50,overallNumberOfRequestsIssuedAtCache,26,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,20,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 15,26,7,176, [080-exec-4],           Controller, 105a00cab9b1, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd4, Run,1, Overall Query Processing Time,86, Query Planning Time,35, Compile Time,3, Execution time,48,overallNumberOfRequestsIssuedAtCache,37,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,28,numberOfBRTPFRequestsIssuedAtCache,5
I, 2023-03-21 15,26,8,255, [080-exec-5],           Controller, 45359d4cfc78, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd5, Run,1, Overall Query Processing Time,42, Query Planning Time,15, Compile Time,1, Execution time,26,overallNumberOfRequestsIssuedAtCache,17,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,2
I, 2023-03-21 15,26,10,794, [080-exec-6],           Controller, 64616ed12724, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd6, Run,1, Overall Query Processing Time,1510, Query Planning Time,25, Compile Time,3, Execution time,1482,overallNumberOfRequestsIssuedAtCache,2460,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,2416,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 15,26,12,405, [080-exec-7],           Controller, 5e194483d51b, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd7, Run,1, Overall Query Processing Time,574, Query Planning Time,25, Compile Time,1, Execution time,548,overallNumberOfRequestsIssuedAtCache,1103,numberOfSPARQLRequestsIssuedAtCache,40,numberOfTPFRequestsIssuedAtCache,1023,numberOfBRTPFRequestsIssuedAtCache,40
I, 2023-03-21 15,26,14,70, [080-exec-8],           Controller, dc6ba951aa30, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld1, Run,1, Overall Query Processing Time,625, Query Planning Time,35, Compile Time,5, Execution time,585,overallNumberOfRequestsIssuedAtCache,907,numberOfSPARQLRequestsIssuedAtCache,26,numberOfTPFRequestsIssuedAtCache,825,numberOfBRTPFRequestsIssuedAtCache,56
I, 2023-03-21 15,26,15,238, [080-exec-9],           Controller, 95511acb8664, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld10, Run,1, Overall Query Processing Time,94, Query Planning Time,22, Compile Time,1, Execution time,71,overallNumberOfRequestsIssuedAtCache,128,numberOfSPARQLRequestsIssuedAtCache,5,numberOfTPFRequestsIssuedAtCache,111,numberOfBRTPFRequestsIssuedAtCache,12
I, 2023-03-21 15,26,17,457, [80-exec-10],           Controller, 00923bd87884, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld11, Run,1, Overall Query Processing Time,1166, Query Planning Time,47, Compile Time,2, Execution time,1117,overallNumberOfRequestsIssuedAtCache,2409,numberOfSPARQLRequestsIssuedAtCache,77,numberOfTPFRequestsIssuedAtCache,2255,numberOfBRTPFRequestsIssuedAtCache,77
I, 2023-03-21 15,26,18,623, [080-exec-1],           Controller, 900b53416da5, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld2, Run,1, Overall Query Processing Time,91, Query Planning Time,10, Compile Time,0, Execution time,81,overallNumberOfRequestsIssuedAtCache,64,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,64,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,26,20,373, [080-exec-2],           Controller, e25507d77171, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld3, Run,1, Overall Query Processing Time,706, Query Planning Time,43, Compile Time,2, Execution time,661,overallNumberOfRequestsIssuedAtCache,1281,numberOfSPARQLRequestsIssuedAtCache,30,numberOfTPFRequestsIssuedAtCache,1183,numberOfBRTPFRequestsIssuedAtCache,68
I, 2023-03-21 15,26,21,596, [080-exec-3],           Controller, 68cd088758cc, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld4, Run,1, Overall Query Processing Time,189, Query Planning Time,11, Compile Time,0, Execution time,178,overallNumberOfRequestsIssuedAtCache,250,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,250,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,26,22,672, [080-exec-4],           Controller, 23775bec6505, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld5, Run,1, Overall Query Processing Time,52, Query Planning Time,20, Compile Time,1, Execution time,31,overallNumberOfRequestsIssuedAtCache,58,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,56,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,26,23,773, [080-exec-5],           Controller, bf3448f47f62, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld6, Run,1, Overall Query Processing Time,77, Query Planning Time,16, Compile Time,0, Execution time,61,overallNumberOfRequestsIssuedAtCache,34,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,26,numberOfBRTPFRequestsIssuedAtCache,4
I, 2023-03-21 15,27,7,764, [080-exec-6],           Controller, 41097aa6942d, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld7, Run,1, Overall Query Processing Time,42953, Query Planning Time,48, Compile Time,1, Execution time,42904,overallNumberOfRequestsIssuedAtCache,20,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,18,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,27,56,690, [080-exec-7],           Controller, 2e396344d89c, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld8, Run,1, Overall Query Processing Time,47876, Query Planning Time,51, Compile Time,1, Execution time,47824,overallNumberOfRequestsIssuedAtCache,281,numberOfSPARQLRequestsIssuedAtCache,5,numberOfTPFRequestsIssuedAtCache,260,numberOfBRTPFRequestsIssuedAtCache,16
I, 2023-03-21 15,27,57,897, [080-exec-8],           Controller, f2bf34b2ca57, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls1, Run,1, Overall Query Processing Time,144, Query Planning Time,1, Compile Time,0, Execution time,143,overallNumberOfRequestsIssuedAtCache,13,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,27,59,75, [080-exec-9],           Controller, 7991c12531dc, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls2, Run,1, Overall Query Processing Time,114, Query Planning Time,90, Compile Time,0, Execution time,24,overallNumberOfRequestsIssuedAtCache,16,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,14,numberOfBRTPFRequestsIssuedAtCache,1
I, 2023-03-21 15,28,3,40, [80-exec-10],           Controller, d7907ba5399a, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls3, Run,1, Overall Query Processing Time,2845, Query Planning Time,18, Compile Time,0, Execution time,2827,overallNumberOfRequestsIssuedAtCache,703,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,701,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,28,4,241, [080-exec-1],           Controller, 163eecd41143, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls4, Run,1, Overall Query Processing Time,35, Query Planning Time,14, Compile Time,0, Execution time,21,overallNumberOfRequestsIssuedAtCache,10,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,6,numberOfBRTPFRequestsIssuedAtCache,4
I, 2023-03-21 15,28,6,598, [080-exec-2],           Controller, 0bf817487252, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls5, Run,1, Overall Query Processing Time,1335, Query Planning Time,15, Compile Time,1, Execution time,1319,overallNumberOfRequestsIssuedAtCache,229,numberOfSPARQLRequestsIssuedAtCache,60,numberOfTPFRequestsIssuedAtCache,110,numberOfBRTPFRequestsIssuedAtCache,59
I, 2023-03-21 15,28,7,840, [080-exec-3],           Controller, 9d459382052b, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls6, Run,1, Overall Query Processing Time,212, Query Planning Time,11, Compile Time,1, Execution time,200,overallNumberOfRequestsIssuedAtCache,36,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,24,numberOfBRTPFRequestsIssuedAtCache,9
I, 2023-03-21 15,28,9,369, [080-exec-4],           Controller, 97ea9e409c65, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ls7, Run,1, Overall Query Processing Time,477, Query Planning Time,16, Compile Time,17, Execution time,444,overallNumberOfRequestsIssuedAtCache,210,numberOfSPARQLRequestsIssuedAtCache,42,numberOfTPFRequestsIssuedAtCache,46,numberOfBRTPFRequestsIssuedAtCache,122
I, 2023-03-21 15,28,10,571, [080-exec-5],           Controller, 85f4a0ee020a, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd1, Run,2, Overall Query Processing Time,127, Query Planning Time,117, Compile Time,0, Execution time,10,overallNumberOfRequestsIssuedAtCache,8,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,5,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,28,11,616, [080-exec-6],           Controller, 7d77d0f5735e, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd2, Run,2, Overall Query Processing Time,26, Query Planning Time,16, Compile Time,0, Execution time,10,overallNumberOfRequestsIssuedAtCache,3,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,2,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,28,12,686, [080-exec-7],           Controller, ad7040834bbb, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd3, Run,2, Overall Query Processing Time,52, Query Planning Time,30, Compile Time,0, Execution time,22,overallNumberOfRequestsIssuedAtCache,26,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,20,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 15,28,13,764, [080-exec-8],           Controller, f071e4867228, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd4, Run,2, Overall Query Processing Time,56, Query Planning Time,19, Compile Time,0, Execution time,37,overallNumberOfRequestsIssuedAtCache,36,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,28,numberOfBRTPFRequestsIssuedAtCache,5
I, 2023-03-21 15,28,14,830, [080-exec-9],           Controller, a18cb6851ce5, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd5, Run,2, Overall Query Processing Time,35, Query Planning Time,15, Compile Time,0, Execution time,20,overallNumberOfRequestsIssuedAtCache,18,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 15,28,17,46, [80-exec-10],           Controller, 085a2b2b9c35, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd6, Run,2, Overall Query Processing Time,1195, Query Planning Time,46, Compile Time,1, Execution time,1148,overallNumberOfRequestsIssuedAtCache,2482,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,2438,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 15,28,18,597, [080-exec-1],           Controller, 83ecad052b00, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd7, Run,2, Overall Query Processing Time,527, Query Planning Time,22, Compile Time,1, Execution time,504,overallNumberOfRequestsIssuedAtCache,1103,numberOfSPARQLRequestsIssuedAtCache,41,numberOfTPFRequestsIssuedAtCache,1021,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 15,28,20,151, [080-exec-2],           Controller, 4be77622024f, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld1, Run,2, Overall Query Processing Time,529, Query Planning Time,33, Compile Time,0, Execution time,496,overallNumberOfRequestsIssuedAtCache,906,numberOfSPARQLRequestsIssuedAtCache,26,numberOfTPFRequestsIssuedAtCache,824,numberOfBRTPFRequestsIssuedAtCache,56
I, 2023-03-21 15,28,21,239, [080-exec-3],           Controller, 06bb26cd7b5c, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld10, Run,2, Overall Query Processing Time,61, Query Planning Time,15, Compile Time,0, Execution time,46,overallNumberOfRequestsIssuedAtCache,128,numberOfSPARQLRequestsIssuedAtCache,5,numberOfTPFRequestsIssuedAtCache,111,numberOfBRTPFRequestsIssuedAtCache,12
I, 2023-03-21 15,28,23,372, [080-exec-4],           Controller, d16aec0c1320, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld11, Run,2, Overall Query Processing Time,1105, Query Planning Time,45, Compile Time,1, Execution time,1059,overallNumberOfRequestsIssuedAtCache,2413,numberOfSPARQLRequestsIssuedAtCache,78,numberOfTPFRequestsIssuedAtCache,2259,numberOfBRTPFRequestsIssuedAtCache,76
I, 2023-03-21 15,28,24,469, [080-exec-5],           Controller, 4b7b0df4ded2, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld2, Run,2, Overall Query Processing Time,64, Query Planning Time,11, Compile Time,0, Execution time,53,overallNumberOfRequestsIssuedAtCache,64,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,64,numberOfBRTPFRequestsIssuedAtCache,0
