I - 2023-03-21 17:23:13,970 - [      main] -     SesameEvaluation - ec9ede21328d - Performing Sesame Initialization...
I - 2023-03-21 17:23:14,010 - [      main] -       SPARQLProvider - ec9ede21328d - Registering SPARQL endpoint http://hefquin-mincostgreedy.fedbench-het3-nodelay.svc:8080/hefquin/sparql
I - 2023-03-21 17:23:14,164 - [      main] -     SesameEvaluation - ec9ede21328d - Sesame Repository successfully initialized.
I - 2023-03-21 17:23:14,165 - [      main] -           Evaluation - ec9ede21328d - Evaluation of queries in multiple runs...
I - 2023-03-21 17:23:15,744 - [      main] -   MemoryReportStream - 8d161f98040e - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd1 - Run: 1 - Query Evaluation Time: 1578 - Results: 90
I - 2023-03-21 17:23:16,837 - [      main] -   MemoryReportStream - b65167a8412b - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd2 - Run: 1 - Query Evaluation Time: 92 - Results: 1
I - 2023-03-21 17:23:17,980 - [      main] -   MemoryReportStream - 900fef10c32a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd3 - Run: 1 - Query Evaluation Time: 143 - Results: 2
I - 2023-03-21 17:23:19,139 - [      main] -   MemoryReportStream - ad3e0acbb52a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd4 - Run: 1 - Query Evaluation Time: 158 - Results: 1
I - 2023-03-21 17:23:20,234 - [      main] -   MemoryReportStream - 2058caa1fb97 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd5 - Run: 1 - Query Evaluation Time: 95 - Results: 2
I - 2023-03-21 17:23:22,724 - [      main] -   MemoryReportStream - d1948f1b39bb - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd6 - Run: 1 - Query Evaluation Time: 1489 - Results: 11
I - 2023-03-21 17:23:24,356 - [      main] -   MemoryReportStream - b281a49860d4 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd7 - Run: 1 - Query Evaluation Time: 632 - Results: 2
I - 2023-03-21 17:23:25,970 - [      main] -   MemoryReportStream - 279548f92ba5 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld1 - Run: 1 - Query Evaluation Time: 614 - Results: 309
I - 2023-03-21 17:23:27,108 - [      main] -   MemoryReportStream - 79581b7ed51e - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld10 - Run: 1 - Query Evaluation Time: 137 - Results: 3
I - 2023-03-21 17:23:29,468 - [      main] -   MemoryReportStream - f4d8cab45e3c - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld11 - Run: 1 - Query Evaluation Time: 1360 - Results: 376
I - 2023-03-21 17:23:30,568 - [      main] -   MemoryReportStream - 889b22a04c05 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld2 - Run: 1 - Query Evaluation Time: 100 - Results: 185
I - 2023-03-21 17:23:32,599 - [      main] -   MemoryReportStream - d66ab81c7ab5 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld3 - Run: 1 - Query Evaluation Time: 1031 - Results: 162
I - 2023-03-21 17:23:33,936 - [      main] -   MemoryReportStream - 235e008b349f - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld4 - Run: 1 - Query Evaluation Time: 336 - Results: 50
I - 2023-03-21 17:23:35,039 - [      main] -   MemoryReportStream - f76745b002aa - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld5 - Run: 1 - Query Evaluation Time: 102 - Results: 28
I - 2023-03-21 17:23:36,146 - [      main] -   MemoryReportStream - 0cdb2f79e5a4 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld6 - Run: 1 - Query Evaluation Time: 107 - Results: 39
I - 2023-03-21 17:23:37,559 - [      main] -   MemoryReportStream - bd2df63131ae - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld7 - Run: 1 - Query Evaluation Time: 413 - Results: 1216
I - 2023-03-21 17:23:38,849 - [      main] -   MemoryReportStream - ccb31d333582 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld8 - Run: 1 - Query Evaluation Time: 290 - Results: 22
I - 2023-03-21 17:23:40,045 - [      main] -   MemoryReportStream - d6a01339d1f4 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls1 - Run: 1 - Query Evaluation Time: 196 - Results: 1159
I - 2023-03-21 17:23:41,191 - [      main] -   MemoryReportStream - 50076d124095 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls2 - Run: 1 - Query Evaluation Time: 145 - Results: 333
I - 2023-03-21 17:23:45,298 - [      main] -   MemoryReportStream - caa9ac388f2c - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls3 - Run: 1 - Query Evaluation Time: 3107 - Results: 9054
I - 2023-03-21 17:23:46,399 - [      main] -   MemoryReportStream - 8b271bbd2f78 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls4 - Run: 1 - Query Evaluation Time: 101 - Results: 3
I - 2023-03-21 17:23:49,180 - [      main] -   MemoryReportStream - f193caf8516f - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls5 - Run: 1 - Query Evaluation Time: 1781 - Results: 393
I - 2023-03-21 17:23:50,307 - [      main] -   MemoryReportStream - 9cd47c90ca89 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls6 - Run: 1 - Query Evaluation Time: 126 - Results: 28
I - 2023-03-21 17:23:51,918 - [      main] -   MemoryReportStream - 9a9b6c100371 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls7 - Run: 1 - Query Evaluation Time: 611 - Results: 1620
I - 2023-03-21 17:23:53,084 - [      main] -   MemoryReportStream - a9223b5d927e - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd1 - Run: 2 - Query Evaluation Time: 165 - Results: 90
I - 2023-03-21 17:23:54,144 - [      main] -   MemoryReportStream - 5836ad568359 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd2 - Run: 2 - Query Evaluation Time: 59 - Results: 1
I - 2023-03-21 17:23:55,224 - [      main] -   MemoryReportStream - 273d514f1104 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd3 - Run: 2 - Query Evaluation Time: 79 - Results: 2
I - 2023-03-21 17:23:56,334 - [      main] -   MemoryReportStream - 19b92f9c0ec6 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd4 - Run: 2 - Query Evaluation Time: 109 - Results: 1
I - 2023-03-21 17:23:57,402 - [      main] -   MemoryReportStream - e82f4e05cde0 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd5 - Run: 2 - Query Evaluation Time: 67 - Results: 2
I - 2023-03-21 17:23:59,569 - [      main] -   MemoryReportStream - b2a9bf4a8432 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd6 - Run: 2 - Query Evaluation Time: 1167 - Results: 11
I - 2023-03-21 17:24:01,138 - [      main] -   MemoryReportStream - ebe2f43f573a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd7 - Run: 2 - Query Evaluation Time: 568 - Results: 2
I - 2023-03-21 17:24:02,701 - [      main] -   MemoryReportStream - a71e05c46261 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld1 - Run: 2 - Query Evaluation Time: 563 - Results: 309
I - 2023-03-21 17:24:03,810 - [      main] -   MemoryReportStream - 6d569b78b5a5 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld10 - Run: 2 - Query Evaluation Time: 108 - Results: 3
I - 2023-03-21 17:24:05,972 - [      main] -   MemoryReportStream - b4d7f06d06eb - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld11 - Run: 2 - Query Evaluation Time: 1162 - Results: 376
I - 2023-03-21 17:24:07,060 - [      main] -   MemoryReportStream - 729c54fe4c59 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld2 - Run: 2 - Query Evaluation Time: 88 - Results: 185
