Query,run1,run2,run3,run4,run5,run6,avg,numResults,minRes,maxRes
cd1,1578,165,166,156,158,170,399,90,90,90
cd2,92,59,58,57,57,56,64,1,1,1
cd3,143,79,82,80,63,71,87,2,2,2
cd4,158,109,102,107,115,96,115,1,1,1
cd5,95,67,73,72,67,62,73,2,2,2
cd6,1489,1167,1351,1195,1230,1212,1275,11,11,11
cd7,632,568,607,564,595,581,592,2,2,2
ld1,614,563,544,522,505,613,561,309,309,309
ld2,100,88,83,82,112,82,92,185,185,185
ld3,1031,948,988,953,960,987,978,162,162,162
ld4,336,326,308,277,375,321,324,50,50,50
ld5,102,87,90,74,87,75,86,28,28,28
ld6,107,87,83,73,96,73,87,39,39,39
ld7,413,311,344,375,322,364,355,1216,1216,1216
ld8,290,285,256,277,248,321,280,22,22,22
ld10,137,108,106,177,107,115,126,3,3,3
ld11,1360,1162,1196,1141,1125,1179,1194,376,376,376
ls1,196,152,167,200,164,120,167,1159,1159,1159
ls2,145,121,113,123,96,115,119,333,333,333
ls3,3107,3099,3047,3272,3126,3259,3152,9054,9054,9054
ls4,101,77,88,86,82,89,88,3,3,3
ls5,1781,1796,1765,1775,1828,1855,1801,393,393,393
ls6,126,101,105,151,101,121,118,28,28,28
ls7,611,657,553,633,683,720,643,1620,1620,1620
