I, 2023-03-21 17,23,15,553, [080-exec-1],           Controller, 9e735ef35908, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd1, Run,1, Overall Query Processing Time,529, Query Planning Time,451, Compile Time,12, Execution time,66,overallNumberOfRequestsIssuedAtCache,6,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,4,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,23,16,831, [080-exec-2],           Controller, 711966ea4b74, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd2, Run,1, Overall Query Processing Time,59, Query Planning Time,42, Compile Time,0, Execution time,17,overallNumberOfRequestsIssuedAtCache,3,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,2,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,23,17,971, [080-exec-3],           Controller, bebf8c2cf73b, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd3, Run,1, Overall Query Processing Time,109, Query Planning Time,59, Compile Time,0, Execution time,50,overallNumberOfRequestsIssuedAtCache,26,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,20,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 17,23,19,126, [080-exec-4],           Controller, 3d8449fd8c51, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd4, Run,1, Overall Query Processing Time,122, Query Planning Time,74, Compile Time,1, Execution time,47,overallNumberOfRequestsIssuedAtCache,37,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,28,numberOfBRTPFRequestsIssuedAtCache,5
I, 2023-03-21 17,23,20,228, [080-exec-5],           Controller, 248a26d639d1, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd5, Run,1, Overall Query Processing Time,70, Query Planning Time,42, Compile Time,1, Execution time,27,overallNumberOfRequestsIssuedAtCache,17,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 17,23,22,703, [080-exec-6],           Controller, 6ef3d07a01ce, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd6, Run,1, Overall Query Processing Time,1450, Query Planning Time,57, Compile Time,1, Execution time,1392,overallNumberOfRequestsIssuedAtCache,2463,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,2419,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,23,24,347, [080-exec-7],           Controller, 8605536c2828, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd7, Run,1, Overall Query Processing Time,604, Query Planning Time,52, Compile Time,0, Execution time,552,overallNumberOfRequestsIssuedAtCache,1083,numberOfSPARQLRequestsIssuedAtCache,39,numberOfTPFRequestsIssuedAtCache,1003,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,23,25,911, [080-exec-8],           Controller, b33e0c894524, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld1, Run,1, Overall Query Processing Time,529, Query Planning Time,49, Compile Time,0, Execution time,480,overallNumberOfRequestsIssuedAtCache,955,numberOfSPARQLRequestsIssuedAtCache,27,numberOfTPFRequestsIssuedAtCache,872,numberOfBRTPFRequestsIssuedAtCache,56
I, 2023-03-21 17,23,27,100, [080-exec-9],           Controller, 011d94fb821d, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld10, Run,1, Overall Query Processing Time,111, Query Planning Time,47, Compile Time,0, Execution time,64,overallNumberOfRequestsIssuedAtCache,127,numberOfSPARQLRequestsIssuedAtCache,5,numberOfTPFRequestsIssuedAtCache,110,numberOfBRTPFRequestsIssuedAtCache,12
I, 2023-03-21 17,23,29,439, [80-exec-10],           Controller, 076f2a127bb5, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld11, Run,1, Overall Query Processing Time,1293, Query Planning Time,83, Compile Time,0, Execution time,1210,overallNumberOfRequestsIssuedAtCache,2407,numberOfSPARQLRequestsIssuedAtCache,79,numberOfTPFRequestsIssuedAtCache,2250,numberOfBRTPFRequestsIssuedAtCache,78
I, 2023-03-21 17,23,30,560, [080-exec-1],           Controller, 724b39298f03, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld2, Run,1, Overall Query Processing Time,77, Query Planning Time,24, Compile Time,0, Execution time,53,overallNumberOfRequestsIssuedAtCache,64,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,64,numberOfBRTPFRequestsIssuedAtCache,0
